director_name,actor_1_name,actor_2_name,actor_3_name,movie_title,genres,comb
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,spider-man,Action Adventure Fantasy Romance,J.K. Simmons James Franco Kirsten Dunst Sam Raimi spider-man
Dean DeBlois,Gerard Butler,Djimon Hounsou,America Ferrera,how to train your dragon 2,Action Adventure Animation Comedy Family Fantasy,Gerard Butler Djimon Hounsou America Ferrera Dean DeBlois how to train your dragon 2
Alex Proyas,Gerard Butler,Elodie Yung,Bryan Brown,gods of egypt,Action Adventure Fantasy,Gerard Butler Elodie Yung Bryan Brown Alex Proyas gods of egypt
Rob Cohen,Sam Shepard,Joe Morton,Richard Roxburgh,stealth,Action Adventure Sci-Fi Thriller,Sam Shepard Joe Morton Richard Roxburgh Rob Cohen stealth
Zack Snyder,Matt Frewer,Billy Crudup,Stephen McHattie,watchmen,Action Drama Mystery Sci-Fi,Matt Frewer Billy Crudup Stephen McHattie Zack Snyder watchmen
Richard Donner,Jet Li,Rene Russo,Darlene Love,lethal weapon 4,Action Crime Thriller,Jet Li Rene Russo Darlene Love Richard Donner lethal weapon 4
Ang Lee,Kevin Rankin,Regi Davis,Celia Weston,hulk,Action Sci-Fi,Kevin Rankin Regi Davis Celia Weston Ang Lee hulk
Jon M. Chu,Channing Tatum,Dwayne Johnson,Elodie Yung,g.i. joe: retaliation,Action Adventure Sci-Fi Thriller,Channing Tatum Dwayne Johnson Elodie Yung Jon M. Chu g.i. joe: retaliation
Hironobu Sakaguchi,Steve Buscemi,Ming-Na Wen,Jean Simmons,final fantasy: the spirits within,Action Adventure Animation Fantasy Romance Sci-Fi,Steve Buscemi Ming-Na Wen Jean Simmons Hironobu Sakaguchi final fantasy: the spirits within
Joe Johnston,Chris Evans,Dominic Cooper,Hayley Atwell,captain america: the first avenger,Action Adventure Sci-Fi,Chris Evans Dominic Cooper Hayley Atwell Joe Johnston captain america: the first avenger
Michael Apted,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,the world is not enough,Action Adventure Thriller,Colin Salmon Maria Grazia Cucinotta Desmond Llewelyn Michael Apted the world is not enough
Peter Weir,James D'Arcy,Lee Ingleby,David Threlfall,master and commander: the far side of the world,Action Adventure Drama History War,James D'Arcy Lee Ingleby David Threlfall Peter Weir master and commander: the far side of the world
George Miller,Robin Williams,Brad Pitt,Common,happy feet 2,Animation Comedy Family Musical,Robin Williams Brad Pitt Common George Miller happy feet 2
Louis Leterrier,Ty Burrell,Peter Mensah,William Hurt,the incredible hulk,Action Adventure Sci-Fi,Ty Burrell Peter Mensah William Hurt Louis Leterrier the incredible hulk
unknown,Don Johnson,Philip Michael Thomas,John Diehl,miami vice            ,Action Crime Drama Mystery Thriller,Don Johnson Philip Michael Thomas John Diehl unknown miami vice            
Steven Spielberg,Mark Rylance,Penelope Wilton,Rafe Spall,the bfg,Adventure Family Fantasy,Mark Rylance Penelope Wilton Rafe Spall Steven Spielberg the bfg
Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Lukas Haas,the revenant,Adventure Drama Thriller Western,Leonardo DiCaprio Tom Hardy Lukas Haas Alejandro G. Iñárritu the revenant
David Soren,Ryan Reynolds,Snoop Dogg,Ben Schwartz,turbo,Adventure Animation Comedy Family Sport,Ryan Reynolds Snoop Dogg Ben Schwartz David Soren turbo
Gore Verbinski,Johnny Depp,Ray Winstone,Stephen Root,rango,Adventure Animation Comedy Family Western,Johnny Depp Ray Winstone Stephen Root Gore Verbinski rango
Eric Darnell,Benedict Cumberbatch,Annet Mahendru,Andy Richter,penguins of madagascar,Adventure Animation Comedy Family,Benedict Cumberbatch Annet Mahendru Andy Richter Eric Darnell penguins of madagascar
Paul Greengrass,Matt Damon,Edgar Ramírez,Albert Finney,the bourne ultimatum,Action Mystery Thriller,Matt Damon Edgar Ramírez Albert Finney Paul Greengrass the bourne ultimatum
Mark Osborne,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,kung fu panda,Action Adventure Animation Comedy Family,Angelina Jolie Pitt Wayne Knight Dan Fogler Mark Osborne kung fu panda
Peyton Reed,Judy Greer,Hayley Atwell,T.I.,ant-man,Action Adventure Comedy Sci-Fi,Judy Greer Hayley Atwell T.I. Peyton Reed ant-man
Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,the hunger games: catching fire,Adventure Sci-Fi Thriller,Jennifer Lawrence Josh Hutcherson Sandra Ellis Lafferty Francis Lawrence the hunger games: catching fire
Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner,the twilight saga: breaking dawn - part 2,Adventure Drama Fantasy Romance,Robert Pattinson Kristen Stewart Taylor Lautner Bill Condon the twilight saga: breaking dawn - part 2
Steven Spielberg,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,war of the worlds,Adventure Sci-Fi Thriller,Tom Cruise Lisa Ann Walter Rick Gonzalez Steven Spielberg war of the worlds
Michael Bay,Will Smith,Henry Rollins,Jordi Mollà,bad boys ii,Action Comedy Crime Thriller,Will Smith Henry Rollins Jordi Mollà Michael Bay bad boys ii
Chris Miller,Salma Hayek,Constance Marie,Amy Sedaris,puss in boots,Action Adventure Animation Comedy Family Fantasy,Salma Hayek Constance Marie Amy Sedaris Chris Miller puss in boots
Phillip Noyce,Angelina Jolie Pitt,Andre Braugher,August Diehl,salt,Action Crime Mystery Thriller,Angelina Jolie Pitt Andre Braugher August Diehl Phillip Noyce salt
Darren Aronofsky,Anthony Hopkins,Emma Watson,Logan Lerman,noah,Action Adventure Drama,Anthony Hopkins Emma Watson Logan Lerman Darren Aronofsky noah
Steven Spielberg,Toby Jones,Mackenzie Crook,Tony Curran,the adventures of tintin,Action Adventure Family Mystery,Toby Jones Mackenzie Crook Tony Curran Steven Spielberg the adventures of tintin
Alfonso Cuarón,Daniel Radcliffe,Gary Oldman,Rupert Grint,harry potter and the prisoner of azkaban,Adventure Family Fantasy Mystery,Daniel Radcliffe Gary Oldman Rupert Grint Alfonso Cuarón harry potter and the prisoner of azkaban
Baz Luhrmann,Essie Davis,Bryan Brown,Eddie Baroo,australia,Adventure Drama Romance War,Essie Davis Bryan Brown Eddie Baroo Baz Luhrmann australia
M. Night Shyamalan,Will Smith,Zoë Kravitz,Glenn Morshower,after earth,Action Adventure Sci-Fi,Will Smith Zoë Kravitz Glenn Morshower M. Night Shyamalan after earth
Eric Leighton,Alfre Woodard,D.B. Sweeney,Della Reese,dinosaur,Adventure Animation Family Thriller,Alfre Woodard D.B. Sweeney Della Reese Eric Leighton dinosaur
Matt Birch,Rupert Grint,Dave Legeno,Ralph Ineson,harry potter and the deathly hallows: part ii,Action Fantasy,Rupert Grint Dave Legeno Ralph Ineson Matt Birch harry potter and the deathly hallows: part ii
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,night at the museum: secret of the tomb,Adventure Comedy Family Fantasy,Robin Williams Rami Malek Steve Coogan Shawn Levy night at the museum: secret of the tomb
Tom McGrath,J.K. Simmons,Brad Pitt,Will Ferrell,megamind,Action Animation Comedy Family Sci-Fi,J.K. Simmons Brad Pitt Will Ferrell Tom McGrath megamind
Chris Columbus,Daniel Radcliffe,Fiona Shaw,Verne Troyer,harry potter and the sorcerer's stone,Adventure Family Fantasy,Daniel Radcliffe Fiona Shaw Verne Troyer Chris Columbus harry potter and the sorcerer's stone
Robert Schwentke,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,r.i.p.d.,Action Comedy Fantasy,Ryan Reynolds Jeff Bridges Stephanie Szostak Robert Schwentke r.i.p.d.
Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,godzilla resurgence,Action Adventure Drama Horror Sci-Fi,Mark Chinnery Shin'ya Tsukamoto Atsuko Maeda Hideaki Anno godzilla resurgence
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,pirates of the caribbean: the curse of the black pearl,Action Adventure Fantasy,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski pirates of the caribbean: the curse of the black pearl
Matt Birch,Rupert Grint,Toby Jones,Alfred Enoch,harry potter and the deathly hallows: part i,Fantasy,Rupert Grint Toby Jones Alfred Enoch Matt Birch harry potter and the deathly hallows: part i
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,the hunger games: mockingjay - part 1,Adventure Sci-Fi Thriller,Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence the hunger games: mockingjay - part 1
Ron Howard,Tom Hanks,Seth Gabel,Jürgen Prochnow,the da vinci code,Mystery Thriller,Tom Hanks Seth Gabel Jürgen Prochnow Ron Howard the da vinci code
Carlos Saldanha,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,rio 2,Adventure Animation Comedy Family Musical,Miguel Ferrer Rachel Crow Jeffrey Garcia Carlos Saldanha rio 2
Bryan Singer,Hugh Jackman,Bruce Davison,Aaron Stanford,x-men 2,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman Bruce Davison Aaron Stanford Bryan Singer x-men 2
Justin Lin,Paul Walker,Vin Diesel,Dwayne Johnson,fast five,Action Crime Thriller,Paul Walker Vin Diesel Dwayne Johnson Justin Lin fast five
Guy Ritchie,Robert Downey Jr.,Eddie Marsan,Paul Anderson,sherlock holmes: a game of shadows,Action Adventure Crime Mystery Thriller,Robert Downey Jr. Eddie Marsan Paul Anderson Guy Ritchie sherlock holmes: a game of shadows
John McTiernan,Tony Curran,Vladimir Kulich,Clive Russell,the 13th warrior,Action Adventure History,Tony Curran Vladimir Kulich Clive Russell John McTiernan the 13th warrior
Tony Gilroy,Jeremy Renner,Scott Glenn,Stacy Keach,the bourne legacy,Action Adventure Thriller,Jeremy Renner Scott Glenn Stacy Keach Tony Gilroy the bourne legacy
Joel Schumacher,Michael Gough,Vivica A. Fox,John Glover,batman & robin,Action,Michael Gough Vivica A. Fox John Glover Joel Schumacher batman & robin
Ron Howard,Clint Howard,T.J. Thyne,Molly Shannon,how the grinch stole christmas,Comedy Family Fantasy,Clint Howard T.J. Thyne Molly Shannon Ron Howard how the grinch stole christmas
Roland Emmerich,Jake Gyllenhaal,Dennis Quaid,Sela Ward,the day after tomorrow,Action Adventure Sci-Fi Thriller,Jake Gyllenhaal Dennis Quaid Sela Ward Roland Emmerich the day after tomorrow
John Woo,Tom Cruise,Dougray Scott,Richard Roxburgh,mission: impossible ii,Action Adventure Thriller,Tom Cruise Dougray Scott Richard Roxburgh John Woo mission: impossible ii
Wolfgang Petersen,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,the perfect storm,Action Adventure Drama Thriller,Karen Allen Mary Elizabeth Mastrantonio Bob Gunton Wolfgang Petersen the perfect storm
Tim Story,Chris Evans,Ioan Gruffudd,Andre Braugher,fantastic 4: rise of the silver surfer,Action Adventure Sci-Fi Thriller,Chris Evans Ioan Gruffudd Andre Braugher Tim Story fantastic 4: rise of the silver surfer
Ang Lee,Suraj Sharma,Rafe Spall,Tabu,life of pi,Adventure Drama Fantasy,Suraj Sharma Rafe Spall Tabu Ang Lee life of pi
Mark Steven Johnson,Nicolas Cage,Matt Long,Peter Fonda,ghost rider,Action Fantasy Thriller,Nicolas Cage Matt Long Peter Fonda Mark Steven Johnson ghost rider
Paul Greengrass,Matt Damon,Riz Ahmed,Ato Essandoh,jason bourne,Action Thriller,Matt Damon Riz Ahmed Ato Essandoh Paul Greengrass jason bourne
McG,Demi Moore,Bernie Mac,Justin Theroux,charlie's angels: full throttle,Action Adventure Comedy Crime,Demi Moore Bernie Mac Justin Theroux McG charlie's angels: full throttle
Ridley Scott,Michael Fassbender,Charlize Theron,Sean Harris,prometheus,Adventure Mystery Sci-Fi,Michael Fassbender Charlize Theron Sean Harris Ridley Scott prometheus
Rob Minkoff,Nathan Lane,Brad Garrett,Melanie Griffith,stuart little 2,Adventure Animation Comedy Family Fantasy,Nathan Lane Brad Garrett Melanie Griffith Rob Minkoff stuart little 2
Neill Blomkamp,Matt Damon,Sharlto Copley,Alice Braga,elysium,Action Drama Sci-Fi Thriller,Matt Damon Sharlto Copley Alice Braga Neill Blomkamp elysium
David Twohy,Vin Diesel,Alexa Davalos,Christina Cox,the chronicles of riddick,Action Adventure Sci-Fi Thriller,Vin Diesel Alexa Davalos Christina Cox David Twohy the chronicles of riddick
Lana Wachowski,Scott Porter,Kick Gurry,Nicholas Elia,speed racer,Action Family Sport,Scott Porter Kick Gurry Nicholas Elia Lana Wachowski speed racer
James L. Brooks,Shelley Conn,Domenick Lombardozzi,Teyonah Parris,how do you know,Comedy Drama Romance,Shelley Conn Domenick Lombardozzi Teyonah Parris James L. Brooks how do you know
James Mangold,Tom Cruise,Marc Blucas,Jordi Mollà,knight and day,Action Comedy Romance,Tom Cruise Marc Blucas Jordi Mollà James Mangold knight and day
Joseph Kosinski,Morgan Freeman,Tom Cruise,Zoë Bell,oblivion,Action Adventure Mystery Sci-Fi,Morgan Freeman Tom Cruise Zoë Bell Joseph Kosinski oblivion
George Lucas,Natalie Portman,Christopher Lee,Hayden Christensen,star wars: episode iii - revenge of the sith,Action Adventure Fantasy Sci-Fi,Natalie Portman Christopher Lee Hayden Christensen George Lucas star wars: episode iii - revenge of the sith
George Lucas,Natalie Portman,Christopher Lee,Hayden Christensen,star wars: episode ii - attack of the clones,Action Adventure Fantasy Sci-Fi,Natalie Portman Christopher Lee Hayden Christensen George Lucas star wars: episode ii - attack of the clones
Pete Docter,Steve Buscemi,John Ratzenberger,James Coburn,"monsters, inc.",Adventure Animation Comedy Family Fantasy,"Steve Buscemi John Ratzenberger James Coburn Pete Docter monsters, inc."
James Mangold,Hugh Jackman,Tao Okamoto,Rila Fukushima,the wolverine,Action Adventure Sci-Fi Thriller,Hugh Jackman Tao Okamoto Rila Fukushima James Mangold the wolverine
George Lucas,Natalie Portman,Liam Neeson,Ian McDiarmid,star wars: episode i - the phantom menace,Action Adventure Fantasy Sci-Fi,Natalie Portman Liam Neeson Ian McDiarmid George Lucas star wars: episode i - the phantom menace
Kirk De Micco,Ryan Reynolds,Emma Stone,Nicolas Cage,the croods,Adventure Animation Comedy Family Fantasy,Ryan Reynolds Emma Stone Nicolas Cage Kirk De Micco the croods
Frédéric Forestier,Alain Delon,Santiago Segura,Vanessa Hessler,asterix at the olympic games,Adventure Comedy Family Fantasy,Alain Delon Santiago Segura Vanessa Hessler Frédéric Forestier asterix at the olympic games
John Woo,Nicolas Cage,Roger Willie,Noah Emmerich,windtalkers,Action Drama War,Nicolas Cage Roger Willie Noah Emmerich John Woo windtalkers
Cedric Nicolas-Troyan,Chris Hemsworth,Sam Claflin,Charlize Theron,the huntsman: winter's war,Action Adventure Drama Fantasy,Chris Hemsworth Sam Claflin Charlize Theron Cedric Nicolas-Troyan the huntsman: winter's war
Alfonso Cuarón,Phaldut Sharma,Basher Savage,Amy Warren,gravity,Adventure Drama Sci-Fi Thriller,Phaldut Sharma Basher Savage Amy Warren Alfonso Cuarón gravity
Roger Donaldson,Jamie Renée Smith,Grant Heslov,Tzi Ma,dante's peak,Action Adventure Thriller,Jamie Renée Smith Grant Heslov Tzi Ma Roger Donaldson dante's peak
Dave Green,Stephen Amell,Noel Fisher,Brad Garrett,teenage mutant ninja turtles: out of the shadows,Action Adventure Comedy Sci-Fi,Stephen Amell Noel Fisher Brad Garrett Dave Green teenage mutant ninja turtles: out of the shadows
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,night at the museum,Action Adventure Comedy Family Fantasy,Robin Williams Rami Malek Steve Coogan Shawn Levy night at the museum
Brad Peyton,Dwayne Johnson,Ioan Gruffudd,Archie Panjabi,san andreas,Action Adventure Drama Thriller,Dwayne Johnson Ioan Gruffudd Archie Panjabi Brad Peyton san andreas
Roger Spottiswoode,Vincent Schiavelli,Colin Salmon,Joe Don Baker,tomorrow never dies,Action Adventure Thriller,Vincent Schiavelli Colin Salmon Joe Don Baker Roger Spottiswoode tomorrow never dies
Roland Emmerich,Heath Ledger,Adam Baldwin,Tom Wilkinson,the patriot,Action Drama History War,Heath Ledger Adam Baldwin Tom Wilkinson Roland Emmerich the patriot
Steven Soderbergh,Brad Pitt,Julia Roberts,Mini Anden,ocean's twelve,Crime Thriller,Brad Pitt Julia Roberts Mini Anden Steven Soderbergh ocean's twelve
Doug Liman,Brad Pitt,Angelina Jolie Pitt,Stephanie March,mr. & mrs. smith,Action Comedy Crime Romance Thriller,Brad Pitt Angelina Jolie Pitt Stephanie March Doug Liman mr. & mrs. smith
Robert Schwentke,Kate Winslet,Theo James,Mekhi Phifer,insurgent,Adventure Sci-Fi Thriller,Kate Winslet Theo James Mekhi Phifer Robert Schwentke insurgent
Martin Scorsese,Leonardo DiCaprio,Adam Scott,Frances Conroy,the aviator,Biography Drama,Leonardo DiCaprio Adam Scott Frances Conroy Martin Scorsese the aviator
Rob Letterman,James Corden,Catherine Tate,Olly Alexander,gulliver's travels,Adventure Comedy Family Fantasy,James Corden Catherine Tate Olly Alexander Rob Letterman gulliver's travels
Michel Gondry,Christoph Waltz,Tom Wilkinson,Chad L. Coleman,the green hornet,Action Comedy Crime Sci-Fi Thriller,Christoph Waltz Tom Wilkinson Chad L. Coleman Michel Gondry the green hornet
unknown,George Peppard,Dirk Benedict,Dwight Schultz,the a-team            ,Action Adventure Crime,George Peppard Dirk Benedict Dwight Schultz unknown the a-team            
Noam Murro,Eva Green,Sullivan Stapleton,Peter Mensah,300: rise of an empire,Action Drama Fantasy War,Eva Green Sullivan Stapleton Peter Mensah Noam Murro 300: rise of an empire
Raja Gosnell,Mahadeo Shivraj,Tim Gunn,Madison McKinley,the smurfs,Adventure Animation Comedy Family Fantasy,Mahadeo Shivraj Tim Gunn Madison McKinley Raja Gosnell the smurfs
Will Finn,Steve Buscemi,Roseanne Barr,G.W. Bailey,home on the range,Animation Comedy Family Music Western,Steve Buscemi Roseanne Barr G.W. Bailey Will Finn home on the range
Robert Schwentke,Naomi Watts,Theo James,Zoë Kravitz,allegiant,Action Adventure Mystery Sci-Fi Thriller,Naomi Watts Theo James Zoë Kravitz Robert Schwentke allegiant
Shawn Levy,Hugh Jackman,Torey Michael Adkins,Olga Fonda,real steel,Action Drama Sci-Fi Sport,Hugh Jackman Torey Michael Adkins Olga Fonda Shawn Levy real steel
Raja Gosnell,Jacob Tremblay,Nancy O'Dell,Vanessa Matsui,the smurfs 2,Adventure Animation Comedy Family Fantasy,Jacob Tremblay Nancy O'Dell Vanessa Matsui Raja Gosnell the smurfs 2
Jan de Bont,Jason Patric,Temuera Morrison,Lois Chiles,speed 2: cruise control,Action Crime Romance Thriller,Jason Patric Temuera Morrison Lois Chiles Jan de Bont speed 2: cruise control
Gavin Hood,Harrison Ford,Moises Arias,Aramis Knight,ender's game,Action Sci-Fi,Harrison Ford Moises Arias Aramis Knight Gavin Hood ender's game
Len Wiseman,Bruce Willis,Jonathan Sadowski,Cyril Raffaelli,live free or die hard,Action Adventure Thriller,Bruce Willis Jonathan Sadowski Cyril Raffaelli Len Wiseman live free or die hard
Peter Jackson,Christopher Lee,Orlando Bloom,Billy Boyd,the lord of the rings: the fellowship of the ring,Action Adventure Drama Fantasy,Christopher Lee Orlando Bloom Billy Boyd Peter Jackson the lord of the rings: the fellowship of the ring
